precision,recall,threshold
0.24193548387096775,0.75,0.016906886763150174
0.2459016393442623,0.75,0.01803681882294232
0.25,0.75,0.01851674660884309
0.2542372881355932,0.75,0.018788484240754137
0.25862068965517243,0.75,0.019119917755691534
0.2631578947368421,0.75,0.019484980104046166
0.26785714285714285,0.75,0.0202328488315949
0.2727272727272727,0.75,0.021052805757228264
0.2777777777777778,0.75,0.021300919772476227
0.2830188679245283,0.75,0.021977638476876258
0.28846153846153844,0.75,0.024273359909052616
0.29411764705882354,0.75,0.0243116213578057
0.3,0.75,0.026603672188661515
0.30612244897959184,0.75,0.026719591867757176
0.3125,0.75,0.0275469898344196
0.3191489361702128,0.75,0.0317392686020257
0.30434782608695654,0.7,0.032272088119269175
0.3111111111111111,0.7,0.03549637779301434
0.29545454545454547,0.65,0.03655421960779834
0.3023255813953488,0.65,0.03750523743551655
0.30952380952380953,0.65,0.03753386606215852
0.3170731707317073,0.65,0.03878662121866
0.325,0.65,0.039992162463037995
0.3333333333333333,0.65,0.04433329867727208
0.3157894736842105,0.6,0.04796754060191765
0.32432432432432434,0.6,0.04828611727608639
0.3333333333333333,0.6,0.050824484598512076
0.34285714285714286,0.6,0.05106960838624697
0.35294117647058826,0.6,0.05408107733816374
0.36363636363636365,0.6,0.059902388224785545
0.375,0.6,0.06095000698617587
0.3870967741935484,0.6,0.06153728197752547
0.36666666666666664,0.55,0.06367505346913829
0.3448275862068966,0.5,0.06767542274565504
0.35714285714285715,0.5,0.07186952447960684
0.3333333333333333,0.45,0.07338764631476204
0.3076923076923077,0.4,0.07979703340902723
0.32,0.4,0.08377276707322588
0.3333333333333333,0.4,0.08454317638706763
0.34782608695652173,0.4,0.08677147743642226
0.3181818181818182,0.35,0.09243612902074605
0.3333333333333333,0.35,0.09517751450933466
0.35,0.35,0.09542526919042889
0.3157894736842105,0.3,0.1128743147401605
0.2777777777777778,0.25,0.11373420789744083
0.23529411764705882,0.2,0.12249526283061331
0.25,0.2,0.12361325435477634
0.26666666666666666,0.2,0.1411708380578711
0.2857142857142857,0.2,0.14344727202582594
0.3076923076923077,0.2,0.166829995821719
0.3333333333333333,0.2,0.17324283039648264
0.36363636363636365,0.2,0.1946261747656923
0.3,0.15,0.20176269963221158
0.3333333333333333,0.15,0.2032914622333603
0.375,0.15,0.25700501119653596
0.42857142857142855,0.15,0.26657422348392856
0.5,0.15,0.3055730678535935
0.4,0.1,0.34073362939102375
0.25,0.05,0.3683114995615133
0.3333333333333333,0.05,0.40784439912891646
0.5,0.05,0.4852651672729719
0.0,0.0,0.6052792821316068
1.0,0.0,
