,0
2017-12-13,4.4002
2017-12-20,2.2222
2017-12-27,2.2239999999999998
2018-01-03,4.2202
2018-01-10,6.020200000000001
2018-01-17,2.2239999999999998
2018-01-24,6.202
2018-01-31,2.404
2018-02-07,6.2002
2018-02-14,2.6002
2018-02-21,0.6202
2018-02-28,4.6
2018-03-07,0.001
2018-03-14,2.0008
2018-03-21,4.0006
2018-03-28,6.0004
2018-04-04,0.0028000000000000004
2018-04-11,2.2005999999999997
2018-04-18,0.020800000000000003
2018-04-25,4.2004
2018-05-02,2.2005999999999997
2018-05-09,0.0028000000000000004
2018-05-16,0.20079999999999992
2018-05-23,2.0224
2018-05-30,0.4401999999999999
2018-06-06,0.24220000000000003
2018-06-13,2.2222
2018-06-20,4.0204
2018-06-27,4.204
2018-07-04,4.6
2018-07-11,4.4002
2018-07-18,4.2021999999999995
2018-07-25,4.0006
2018-08-01,6.0202
2018-08-08,6.0022
2018-08-15,4.2021999999999995
2018-08-22,4.0203999999999995
2018-08-29,2.2006
2018-09-05,0.40059999999999996
2018-09-12,2.4004
2018-09-19,4.0006
2018-09-26,4.2004
2018-10-03,6.2002
2018-10-10,8.2
2018-10-17,10.0
2018-10-24,6.020200000000001
2018-10-31,8.0002
2018-11-07,6.020200000000001
2018-11-14,6.020200000000001
2018-11-21,2.4004
2018-11-28,2.2203999999999997
2018-12-05,4.2004
2018-12-12,2.2203999999999997
2018-12-19,2.4021999999999997
2018-12-26,2.0044
2019-01-02,2.4004
2019-01-09,6.0202
2019-01-16,0.001
2019-01-23,4.2004
2019-01-30,4.0006
2019-02-06,2.0206
2019-02-13,2.0224
2019-02-20,2.0043999999999995
2019-02-27,0.20439999999999997
2019-03-06,0.20259999999999995
2019-03-13,4.2202
2019-03-20,2.4004
2019-03-27,2.2024
2019-04-03,6.202
2019-04-10,2.2222
2019-04-17,0.2062
2019-04-24,0.24220000000000003
2019-05-01,2.2401999999999997
2019-05-08,4.0222
2019-05-15,4.0006
2019-05-22,4.2004
2019-05-29,0.20079999999999992
2019-06-05,2.0205999999999995
2019-06-12,0.22059999999999996
2019-06-19,8.0002
2019-06-26,0.20079999999999995
2019-07-03,2.0205999999999995
2019-07-10,0.040600000000000004
2019-07-17,6.0004
2019-07-24,4.0203999999999995
2019-07-31,0.6022
2019-08-07,2.4021999999999997
2019-08-14,2.2024
2019-08-21,4.0006
2019-08-28,6.200200000000001
2019-09-04,4.0006
2019-09-11,0.40059999999999996
2019-09-18,4.2004
2019-09-25,2.0007999999999995
2019-10-02,2.2005999999999997
2019-10-09,4.0024
2019-10-16,2.2024
2019-10-23,2.0242
2019-10-30,2.0025999999999997
2019-11-06,4.0006
2019-11-13,4.2202
2019-11-20,2.0026
2019-11-27,0.4042
2019-12-04,2.2042
2019-12-11,0.0064
2019-12-18,0.22240000000000001
2019-12-25,0.022600000000000002
2020-01-01,0.022600000000000002
2020-01-08,0.022600000000000002
2020-01-15,2.0241999999999996
2020-01-22,2.4021999999999997
2020-01-29,6.2002
2020-02-05,6.022
2020-02-12,4.2202
