date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2019-12-31 00:00:00+00:00,707302478789.9646,1677414994.1469812,4515324167.309115,40130308723.55589,66388258523.875854,729282494949.9388,211823765009.11172,50650913267.74204,5796423640.700458,2310769437.4597816,33283825756.25783,3645099377.073015,7259830.757109942,7563200911.71586
2020-01-31 00:00:00+00:00,1034111154725.1166,1938280719.2610204,7351147340.048858,54147315627.51784,93861053098.54115,1221631971043.8762,341900535847.34485,115436718041.53297,6915243564.181896,3867237185.297585,41672414740.618164,4720318858.2692795,5677242.929379927,9768534644.503014
2020-02-29 00:00:00+00:00,1512679890538.8428,3423424841.70447,10597122835.037617,85846385769.14886,144076285341.93582,1931036663558.7207,744411720527.6626,165507253158.47122,10237578778.843111,6180809656.938195,56101049341.226616,11134964552.714504,105852734.57105123,21759292366.914375
2020-03-31 00:00:00+00:00,1300003043813.521,3690518029.96008,9905353155.26418,72326610320.46712,111243791409.99777,1539293369252.9463,418332812965.2895,168980623341.7809,9754640512.994062,4166753033.7271447,39737598840.647095,13853880267.130201,44071825.48422473,26910467561.14657
2020-04-30 00:00:00+00:00,1090912233356.9058,4379382804.862656,13836308346.314514,61375421729.627914,102264639295.914,1399948019118.3557,392067324671.11676,108132832353.61621,11421797447.22767,4732854203.435181,37413395744.788284,13765972521.237669,33456415.286473576,19230813344.656677
2020-05-31 00:00:00+00:00,1267534458191.2148,5662660835.844989,15513912971.69965,59549134962.368645,102655282947.64362,1503209266314.8975,427572951007.1594,108712022943.46295,10260531724.007698,6743120701.131508,48135123303.11773,12665820953.756447,19052589.582400206,11813907774.890951
2020-06-30 00:00:00+00:00,711367679927.9564,3693586400.07212,11061289532.591803,37746423999.84605,56183196141.69161,762416231834.1973,234276504153.93765,71018089436.65114,5990741575.28555,10776033427.440186,32943997840.28484,10637998065.93942,25911294.70184063,8107903072.236847
2020-07-31 00:00:00+00:00,648432864015.7997,5364640234.066215,9027153821.712738,40519005742.43161,42475450185.48864,632936560334.2683,204415579795.08215,57100223468.178986,6207406656.821758,15913111161.778053,15580518135.553278,20994465480.11959,55237881.26875174,10369132383.279215
2020-08-31 00:00:00+00:00,674679173587.9012,4869723549.690724,7418098758.502145,77013862081.50412,77651143707.78929,1029143903120.0209,365331307204.53503,84585268069.57414,8313347203.849255,14217409080.142782,23212460201.683117,44394885188.065704,207067289.2493184,13451982496.209301
2020-09-30 00:00:00+00:00,800958836674.7908,4181755716.22205,4391892636.293585,51910026150.776184,59270338465.194695,1140032853871.4404,467796382663.4157,69373850636.86865,15778357257.878971,15410975022.019215,50606096219.67711,35970798193.92686,304101897.4526419,16762858807.681992
2020-10-31 00:00:00+00:00,627401207742.2906,2843669047.95728,4243130838.820115,43526743213.111824,66468446755.97099,911093873458.6935,312855681551.31903,70267693969.10735,11056219299.685804,13498900572.121807,24138128451.240646,22281756259.979805,450119367.63599515,18192973007.846703
2020-11-30 00:00:00+00:00,870988229756.7031,2697211256.13482,19645524927.3261,180446361415.49127,100778644266.54547,1243445718080.3438,399871453707.38184,79405289902.61555,12279782761.606508,22596879684.473534,28722672729.2555,33304739361.53457,619033146.4042466,18647362225.93192
2020-12-31 00:00:00+00:00,1040372454708.5854,4215377201.467035,21323550161.69657,266957240920.07297,171636572577.58524,1542270120125.7515,446283210139.18616,113909190545.91385,15343408189.181808,30116525743.893696,25974903893.8475,30214358757.93509,1227656308.1851304,24964802226.975857
2021-01-31 00:00:00+00:00,2023580289233.4905,59842759357.8236,63814883098.75828,150157193943.9169,232202100328.3232,2862798562263.438,1344696753045.3132,196930692320.68277,21708926385.72488,90560158576.70718,46730025777.37661,74184117878.58408,2440764359.537621,74296236326.2229
2021-02-28 00:00:00+00:00,1821279074210.9705,128821198110.43777,64575637563.73415,226580893690.05322,227894019740.69717,3099692241007.8105,1063166950728.829,184676623400.6748,153000623088.46667,186334602356.91208,67725789378.26761,70297613183.65031,2304772917.4988036,61568442065.83068
2021-03-31 00:00:00+00:00,1793493368821.5027,43661490428.99731,30203046985.715813,123726761087.89436,173773579091.79462,2933364969492.9473,924309813351.3357,144344102106.17963,116514613759.79778,171329839067.28702,61797999275.82593,49501991138.36423,1912191455.8063295,51296803177.8905
2021-04-30 00:00:00+00:00,1828732781812.8267,332377840199.87506,60602905620.48729,421487386455.3622,259877998608.7476,4160599917887.036,1154178713711.2808,239114786624.20547,204394753229.7217,124435643978.928,190218071737.83774,64619228752.002174,1969600476.440298,61276355589.05486
